"class","obj_ID","alpha","delta","u","g","r","i","z","run_ID","rerun_ID","cam_col","field_ID","spec_obj_ID","redshift","plate","MJD","fiber_ID"
"GALAXY",1.23767e+18,159.512429,17.94876513,18.07014,17.10802,16.72852,16.45455,16.32356,5935,301,3,285,2.9195e+18,0.05593612,2593,54175,156
"GALAXY",1.23767e+18,236.4446836,23.12372125,23.78845,20.71336,18.91739,18.27051,17.8263,4576,301,3,755,2.4422e+18,0.3662078,2169,53556,431
"GALAXY",1.23766e+18,197.2135706,49.47013431,23.37872,21.05367,19.3345,18.65415,18.28948,3650,301,4,62,7.60337e+18,0.4183593,6753,56399,598
"GALAXY",1.23766e+18,134.289109,32.23408371,18.95171,17.76074,17.24388,16.89646,16.69724,3606,301,3,71,1.43107e+18,0.0748955,1271,52974,175
"GALAXY",1.23766e+18,239.9619183,44.06304119,23.52094,23.37937,21.60478,20.43811,19.7391,3225,301,2,191,9.60066e+18,0.6532267,8527,57897,397
"GALAXY",1.23768e+18,36.7203214,-4.432698404,21.64758,21.80444,20.94476,20.28782,20.25528,7865,301,3,159,1.04911e+19,0.6882104,9318,58068,50
"GALAXY",1.23766e+18,246.3875689,33.68645201,19.07235,17.32675,16.40673,15.91357,15.51062,3918,301,6,320,1.19132e+18,0.09279993,1058,52520,434
"GALAXY",1.23766e+18,125.8617751,27.36724755,20.52106,18.40979,17.21034,16.72074,16.36829,3560,301,4,122,1.42658e+18,0.166385,1267,52932,229
"GALAXY",1.23766e+18,242.3146879,33.00366047,24.53789,23.61334,21.84957,20.77617,19.88113,3958,301,4,85,1.2286e+19,0.6333253,10912,58253,611
"GALAXY",1.23765e+18,161.9768478,3.114461966,18.39169,16.88556,16.09291,15.66807,15.35816,1992,301,5,81,5.70924e+17,0.04070802,507,52353,336
"GALAXY",1.23767e+18,139.5638426,21.67516678,25.10555,22.41504,21.05235,19.90889,19.57164,5061,301,3,172,6.49776e+18,0.5643859,5771,56011,699
"GALAXY",1.23767e+18,154.1991574,25.15251309,22.71213,22.54172,20.96458,19.80199,19.13385,5061,301,1,265,7.27912e+18,0.6064324,6465,56279,659
"GALAXY",1.23767e+18,147.6452328,16.68508943,26.41334,22.24058,20.25596,19.25215,18.76403,5935,301,5,209,5.99211e+18,0.5081841,5322,56003,269
"GALAXY",1.23765e+18,202.2672561,2.397192996,20.89941,18.93734,17.68451,17.14003,16.82305,1462,301,4,513,4.55e+18,0.3011915,4045,55622,712
"GALAXY",1.23768e+18,345.2619199,11.26638475,20.66489,18.38569,17.18793,16.66664,16.26104,7773,301,2,214,5.68693e+18,0.1331261,5051,56214,18
"GALAXY",1.23768e+18,13.70819318,-7.828784546,20.35078,18.79479,17.37623,16.85148,16.48084,8095,301,3,391,8.05584e+18,0.2102038,7155,56629,112
"GALAXY",1.23766e+18,250.1660014,38.05097209,19.09295,18.06134,17.57383,17.19304,17.0829,3225,301,6,255,9.21068e+17,0.1262253,818,52395,299
"GALAXY",1.23768e+18,41.57960484,-3.252154397,22.82813,22.14309,20.75331,19.43235,18.80049,7865,301,5,192,4.88874e+18,0.6475655,4342,55531,293
"GALAXY",1.23766e+18,215.3672693,10.31485491,23.44405,22.1546,20.35076,19.47034,18.88914,3836,301,2,440,6.14751e+18,0.5503417,5460,56000,350
"GALAXY",1.23766e+18,221.915254,51.28590612,21.94135,21.00914,20.27609,19.53709,19.41914,3705,301,3,142,7.57193e+18,0.6316716,6725,56390,915
"GALAXY",1.23766e+18,115.6887049,20.66198694,23.3684,22.76167,22.53651,21.51692,22.4164,3560,301,6,45,1.00815e+19,0.8462213,8954,57453,717
"GALAXY",1.23767e+18,210.6850624,31.82749419,22.4235,20.89196,19.14747,18.52266,18.16346,4576,301,3,592,4.34833e+18,0.4102401,3862,55276,397
"GALAXY",1.23766e+18,168.3365775,4.444743219,24.42477,21.84023,20.14824,19.26406,18.88155,2247,301,3,51,5.37058e+18,0.4462603,4770,55928,153
"GALAXY",1.23766e+18,11.13628934,-1.1261192,23.87381,22.98722,21.39733,20.02265,19.4507,4263,301,1,190,4.75356e+18,0.6235115,4222,55444,43
"GALAXY",1.23766e+18,117.5018912,21.31543256,22.00447,20.91545,19.15838,18.46012,18.02626,3605,301,4,52,5.03623e+18,0.2633842,4473,55589,284
"GALAXY",1.23766e+18,122.734614,39.11211548,21.4281,19.2064,17.75415,17.19814,16.80699,2243,301,4,47,8.54604e+17,0.2285923,759,52254,167
